,Anio,semestre,N_VICTIMAS,Total Poblacion,tasa,Tasa Anterior,VARIACION_TASA
0,2016,1,62,3002178,2.0651673551668153,0.0,0.0
1,2016,2,75,3002178,2.498186316734051,2.0651673551668153,20.97
2,2017,1,78,3021444,2.5815471013197664,2.498186316734051,3.34
3,2017,2,78,3021444,2.5815471013197664,2.5815471013197664,0.0
4,2018,1,76,3040889,2.4992691282056003,2.5815471013197664,-3.19
5,2018,2,83,3040889,2.7294649689613792,2.4992691282056003,9.21
6,2019,1,56,3060508,1.8297615951338797,2.7294649689613792,-32.96
7,2019,2,47,3060508,1.5356927673445064,1.8297615951338797,-16.07
8,2020,1,31,3080306,1.0063935206437282,1.5356927673445064,-34.47
9,2020,2,56,3080306,1.8180011985822189,1.0063935206437282,80.65
10,2021,1,54,3100282,1.741777038346834,1.8180011985822189,-4.19
11,2021,2,42,3100282,1.35471547426976,1.741777038346834,-22.22
